SVM;;Maskin;;;LDAC;;Maskin;;
Lärare;IG;G;VG;;Lärare;IG;G;VG
IG;3;1;1;;IG;1;2;2
G;4;5;1;;G;2;4;4
VG;2;3;4;;VG;0;6;3
