Kännetecken;F-score
no_of_nouns;4.066798
no_of_long_words;2.331525
NR;2.284495
no_of_tokens;2.231571
no_of_grammatical_err;1.824849
no_of_verbs;1.667162
no_of_participles;1.511160
no_of_sentences;1.499189
no_of_stopwords;1.334888
no_of_pronouns;1.216372
no_of_adverbs;0.878558
fourth_root_words;0.810546
no_of_words;0.795730
no_of_adjectives;0.597542
no_of_prepositions;0.363956
average_word_length;0.155179
OVIX;0.124092
no_of_unique_words;0.101214
